"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","Попытка входа с неправильными авторизационными данными. Метод: /api/v1/courier/login","tests","Wed Jul 23 23:29:22 MSK 2025","passed","Wed Jul 23 23:29:22 MSK 2025","TestLoginCourier","test_login_courier","",""
"","70","Успешная авторизация. Метод: /api/v1/courier/login","tests","Wed Jul 23 23:29:21 MSK 2025","passed","Wed Jul 23 23:29:21 MSK 2025","TestLoginCourier","test_login_courier","",""
"","127","Создание нового курьера проходит успешно. Метод: /api/v1/courier","tests","Wed Jul 23 23:29:17 MSK 2025","passed","Wed Jul 23 23:29:17 MSK 2025","TestCreateNewCourier","test_create_courier","",""
"","65","Попытка создать нового курьера без передачи обязательного параметра. Метод: /api/v1/courier","tests","Wed Jul 23 23:29:18 MSK 2025","passed","Wed Jul 23 23:29:18 MSK 2025","TestCreateNewCourier","test_create_courier","",""
"","63","Попытка входа без заполнения обязательного параметра. Метод: /api/v1/courier/login","tests","Wed Jul 23 23:29:22 MSK 2025","passed","Wed Jul 23 23:29:22 MSK 2025","TestLoginCourier","test_login_courier","",""
"","61","Попытка создать нового курьера без передачи обязательного параметра. Метод: /api/v1/courier","tests","Wed Jul 23 23:29:18 MSK 2025","passed","Wed Jul 23 23:29:18 MSK 2025","TestCreateNewCourier","test_create_courier","",""
"","133","Успешное создание заказа со всеми вариантами цветов. Метод: /api/v1/orders","tests","Wed Jul 23 23:29:22 MSK 2025","passed","Wed Jul 23 23:29:22 MSK 2025","TestCreateOrder","test_make_order","",""
"","72","Попытка входа без заполнения обязательного параметра. Метод: /api/v1/courier/login","tests","Wed Jul 23 23:29:22 MSK 2025","passed","Wed Jul 23 23:29:22 MSK 2025","TestLoginCourier","test_login_courier","",""
"","149","Успешное создание заказа со всеми вариантами цветов. Метод: /api/v1/orders","tests","Wed Jul 23 23:29:22 MSK 2025","passed","Wed Jul 23 23:29:23 MSK 2025","TestCreateOrder","test_make_order","",""
"","132","Успешное создание заказа со всеми вариантами цветов. Метод: /api/v1/orders","tests","Wed Jul 23 23:29:22 MSK 2025","passed","Wed Jul 23 23:29:22 MSK 2025","TestCreateOrder","test_make_order","",""
"","3366","Получение списка заказов. Метод: /api/v1/orders","tests","Wed Jul 23 23:29:18 MSK 2025","passed","Wed Jul 23 23:29:21 MSK 2025","TestGetOrderList","test_get_order_list","",""
"","157","Попытка создать уже двух одинаковых курьеров. Метод: /api/v1/courier","tests","Wed Jul 23 23:29:17 MSK 2025","passed","Wed Jul 23 23:29:17 MSK 2025","TestCreateNewCourier","test_create_courier","",""
"","131","Успешное создание заказа со всеми вариантами цветов. Метод: /api/v1/orders","tests","Wed Jul 23 23:29:22 MSK 2025","passed","Wed Jul 23 23:29:22 MSK 2025","TestCreateOrder","test_make_order","",""
